# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	63338
#@/user_id	eda97b9c-91d9-424e-a110-67fce4e92b13
bu4 bao4 cuo4 	不报错	c=1 d=1 t=54425
bu4 bei4 	不被	c=3 d=1.00103 t=55563
bu4 bi3 	不比	c=1 d=3.2515e-19 t=63338
bu4 bi4 	不必	c=1 d=3.23528e-19 t=63338
bu4 bian4 	不变	c=1 d=1 t=60643
bu4 bo1 	不播	c=1 d=1 t=32017
bu4 can1 kao3 	不参考	c=1 d=1 t=25443
bu4 cha4 	不差	c=1 d=1 t=62512
bu4 chan3 	不产	c=1 d=1 t=27911
bu4 chao1 guo4 	不超过	c=1 d=1 t=13744
bu4 cheng1 man3 	不撑满	c=1 d=1 t=49501
bu4 cheng2 gan gong 	不成干供	c=1 d=1 t=39831
bu4 chi1 	不吃	c=3 d=5.22401e-09 t=63338
bu4 chi1 rou4 	不吃肉	c=1 d=1 t=31768
bu4 chong2 die2 	不重叠	c=1 d=1 t=46102
bu4 chou2 	不愁	c=1 d=2.62247e-19 t=63338
bu4 chou3 	不丑	c=1 d=1 t=51221
bu4 chu1 lai2 	不出来	c=3 d=1 t=48583
bu4 chu3 li3 	不处理	c=1 d=1 t=52943
bu4 chuan2 	不传	c=1 d=1 t=30437
bu4 chuang4 jian4 	不创建	c=2 d=1.96561 t=37263
bu4 cun2 zai4 	不存在	c=15 d=0.0209985 t=63338
bu4 cuo4 	不错	c=4 d=1.94649 t=62208
bu4 da3 zhang4 	不打仗	c=1 d=1 t=62594
bu4 da4 	不大	c=2 d=1 t=38962
bu4 dai4 	不带	c=2 d=1 t=46887
bu4 dai4 biao3 	不代表	c=1 d=1 t=44404
bu4 dao4 de2 	不道德	c=1 d=1 t=19167
bu4 dei3 	不得	c=3 d=4.00882e-11 t=63338
bu4 deng3 yu2 	不等于	c=1 d=1 t=11737
bu4 dian3 	不点	c=1 d=1 t=13029
bu4 diao4 yong4 	不调用	c=1 d=1 t=35146
bu4 dong3 	不懂	c=2 d=3.5571e-17 t=63338
bu4 dong4 	不动	c=5 d=0.00701525 t=63338
bu4 dou1 	不都	c=1 d=1 t=25909
bu4 dou1 shi4 	不都是	c=1 d=1 t=46904
bu4 du2 	不读	c=2 d=2.84965e-12 t=63338
bu4 duo1 	不多	c=2 d=0.210136 t=63338
bu4 en ning gan 	不嗯宁干	c=1 d=0.1 t=39028
bu4 fang2 	布防	c=1 d=7.21889e-20 t=63338
bu4 fen1 	不分	c=1 d=1 t=28280
bu4 fen4 	部分	c=13 d=5.53958e-21 t=63338
bu4 fu2 qi4 	不服气	c=1 d=1 t=37347
bu4 gai1 	不该	c=1 d=1 t=31866
bu4 gai3 	不改	c=3 d=1 t=52784
bu4 gan3 	不敢	c=5 d=0.913931 t=63338
bu4 gan3 kan4 	不敢看	c=1 d=6.46583e-18 t=63338
bu4 gan3 shuo1 	不敢说	c=1 d=1 t=37757
bu4 gao1 	不高	c=1 d=1 t=26975
bu4 gao3 	不搞	c=2 d=1 t=48066
bu4 gao4 su4 	不告诉	c=1 d=1 t=28330
bu4 gei3 	不给	c=1 d=1.36789e-09 t=63338
bu4 gei3 ni3 	不给你	c=1 d=1 t=57537
bu4 gei3 qian2 	不给钱	c=2 d=0.135335 t=63338
bu4 geng1 xin1 	不更新	c=2 d=5.97344e-05 t=63338
bu4 gou4 	不够	c=3 d=1 t=59272
bu4 gu4 	不顾	c=1 d=4.88511e-14 t=63338
bu4 gu4 gong1 	不故宫	c=1 d=1 t=20672
bu4 guan1 	不关	c=1 d=1 t=41425
bu4 guan1 zhu4 	不关注	c=1 d=4.90959e-14 t=63338
bu4 guan3 	不管	c=4 d=1 t=59761
bu4 gui1 	不归	c=1 d=1 t=20669
bu4 gui4 	不贵	c=2 d=0.00100779 t=63338
bu4 guo4 	不过	c=4 d=1 t=50190
bu4 guo4 lai2 	不过来	c=1 d=1 t=43624
bu4 hao3 	不好	c=18 d=0.202963 t=63338
bu4 hao3 yi4 si1 	不好意思	c=1 d=1 t=34391
bu4 he1 	不喝	c=1 d=1 t=59718
bu4 he1 jiu3 	不喝酒	c=1 d=1 t=42902
bu4 he2 	不合	c=1 d=1 t=28287
bu4 he2 fa3 	不合法	c=3 d=1 t=46064
bu4 he2 li3 	不合理	c=3 d=1.77492 t=61885
